"YEAR:","CURRENT"
"DATE:","END OF PERIOD"
"SORT ORDER:","CATEGORY"
"SUPPLIER:",""
"LOCATION:","01: TWK"

"ITEM NUMBER","CAT","GROUP","DESCRIPTION","BIN","","NORMAL","FAULTY","SUPPLR","SWP-OUT","OTHER","TOTAL","COST","VALUE"
"14.4","14K","LPG","14KG LPG - PACKED","","EA","16.00","0.00","0.00","0.00","0.00","16.00","N/A","N/A"
"1401","14K","LPG","14KG LPG PACKED","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"19.4","19K","LPG","19KG LPG - PACKED","","EA","10.00","0.00","0.00","0.00","0.00","10.00","N/A","N/A"
"1901","19K","LPG","19KG LPG PACKED","","EA","58.00","0.00","0.00","0.00","0.00","58.00","N/A","N/A"
"9.4","9KG","LPG","9KG ORYX LPG","","EA","100.00","0.00","0.00","0.00","0.00","100.00","N/A","N/A"
"901","9KG","LPG","9KG LPG PACKED 01","","EA","62.00","0.00","0.00","0.00","0.00","62.00","N/A","N/A"
"00000014","AGR","HEALTH","SYRINGE 20ML","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000015","AGR","HEALTH","SYRINGE 10ML","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000042","AGR","HEALTH","NEEDLE 18G X 1.5 DDD NEEDLECARE","","EA","248.00","0.00","0.00","0.00","0.00","248.00","N/A","N/A"
"00000058","AGR","HEALTH","BELLS NR. 3","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000059","AGR","HEALTH","BELLS NR. 2","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000060","AGR","HEALTH","BELLS NR. 1","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000073","AGR","COMMOD","MOLLASES LIQUID","","EA","-13.00","0.00","0.00","0.00","0.00","-13.00","N/A","N/A"
"00000078","AGR","SEED","SPINACH 100G","","EA","-1.00","0.00","0.00","0.00","0.00","-1.00","N/A","N/A"
"00000084","AGR","SEED","CABBAGE 500G","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000099","AGR","FEED","MOLLASES MEAL","","EA","-3.00","0.00","0.00","0.00","0.00","-3.00","N/A","N/A"
"00000105","AGR","COMMOD","MAGNESIUM SULPHATE 25KG","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000108","AGR","HEALTH","LACTO LAMB 2KG","","EA","4.00","0.00","0.00","0.00","0.00","4.00","N/A","N/A"
"00000132","AGR","HEALTH","LACTO CALF 2KG","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000147","AGR","COMMOD","ROUND HAY BALES","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000160","AGR","HEALTH","LACTO LAMB 5KG","","EA","5.00","0.00","0.00","0.00","0.00","5.00","N/A","N/A"
"00000161","AGR","HEALTH","LACTO CALF 5KG","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000170","AGR","CONSUM","PORCELAIN GLOBE HOLDER","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000171","AGR","SEED","CUCUMBER GARDEN SWEET BURPLESS SEED","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000172","AGR","SEED","CUCUMBER ASHLEY SEED","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000175","AGR","SEED","CAPSICUM SANTORINI - RED BELL PEPPER","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000176","AGR","SEED","CAPSICUM CALIFORNIA WONDER - GREEN BELL","","EA","4.00","0.00","0.00","0.00","0.00","4.00","N/A","N/A"
"00000177","AGR","SEED","CAPSICUM KAVANGO - YELLOW BELL PEPPER","","EA","3.00","0.00","0.00","0.00","0.00","3.00","N/A","N/A"
"00000178","AGR","SEED","BEANS BUSH CONTENDER (BUSH VARIETY)","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000183","AGR","SEED","SQUASH BUTTERNUT WALTHAM","","EA","8.00","0.00","0.00","0.00","0.00","8.00","N/A","N/A"
"00000184","AGR","SEED","CELERY TALL UTAH","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000186","AGR","SEED","TOMATO MONEYMAKER","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
"00000205","AGR","SEED","BEANS GADRA 500G","","EA","2.00","0.00","0.00","0.00","0.00","2.00","N/A","N/A"
"00000207","AGR","SEED","BEANS BWINDI DRY 500G","","EA","1.00","0.00","0.00","0.00","0.00","1.00","N/A","N/A"
